int_id_1_1_1|date_2019-01-01_2019-12-31_2|ascii_str_8_8_3|double_-1.0_1.0_4|integer_-1000_1000_5
88|2019-04-06|,{R6zpvb|0.31128856064071453|722
89|2019-09-27|PI02],o3|0.04784839061256996|-777
90|2019-03-09|ZQM8{MG,|0.7880196572503138|312
91|2019-07-13|275v%ZkJ|0.3848280060995528|117
92|2019-05-26|"|}~;9B]m"|0.9714498914446468|882
93|2019-10-22|`Bth&#!^|-0.21457011145554605|824
94|2019-01-10|yV'16HPN|0.4724373933033441|623
95|2019-02-23|ZHa}+7R8|0.9885981118606644|-305
96|2019-09-20|#zodr8h,|0.16091662002943163|-741
97|2019-05-11|.3fCX[\/|0.982026029960309|-242
98|2019-06-21|}m7R62b'|-0.8430450854313862|847
99|2019-03-27|f=&:0Ma6|0.5653847569627799|451
100|2019-08-10|FznPbs=o|0.8104176336420428|574
101|2019-03-04|QsHOP6Em|-0.9462427622933687|70
102|2019-07-07|TB:^)pI:|0.4277621960083955|884
103|2019-08-13|G2tren!#|-0.3539705680537011|-686
104|2019-07-06|A0K}D#A$|0.49513914942347736|41
105|2019-08-27|In~YsFDe|-0.5261034943441425|-319
106|2019-02-10|=4LsuFQ;|-0.4944142975264514|-107
107|2019-07-30|V4Jhp{F`|-0.2419049203118815|72
108|2019-05-28|{qSA0kl[|-0.9400129449489276|-70
109|2019-03-05|&h`i#+jV|-0.6819718434938573|-633
110|2019-10-10|bc(db#Be|-0.6464306246974851|240
111|2019-11-26|").7|ek98"|-0.8365623423377784|17
112|2019-08-18|!-gUYNOU|-0.027771197057936625|922
